9892586_1, 0.72
9848888_1, 0.78
8596317_1, 0.53
8121459_1, 0.47
8121459_2, 0.59
30882239_2, 0.20
30882239_5, 0.75
30871355_2, 0.38
30830724_4, 0.25
30830724_5, 0.87
30734043_1, 0.50
30729456_2, 0.83
30614616_2, 0.80
30591006_1, 0.46
30590387_1, 0.74
30587959_1, 0.25
30587959_3, 0.67
30586757_2, 0.46
30586723_3, 0.79
30584583_2, 0.85
30547388_2, 0.00
30525116_2, 0.67
30474818_2, 0.53
30473179_2, 0.32
30418475_1, 0.67
30371334_1, 0.56
30354781_2, 0.87
30302940_4, 0.56
30291013_1, 0.60
30248105_3, 0.28
30203580_2, 0.68
30183102_2, 0.64
30175930_1, 0.45
30166073_2, 0.50
30166073_3, 0.56
30165610_1, 0.35
30146932_1, 0.45
30146932_2, 0.76
30146931_2, 0.62
30139780_1, 0.65
30026335_1, 0.55
30012318_3, 0.80
29941478_1, 0.40
29925383_1, 0.45
29793629_1, 0.87
29782217_1, 0.72
29782217_2, 0.33
29687620_1, 0.34
29685860_2, 0.90
29680881_1, 0.83
29664406_2, 0.68
29544870_1, 0.51
29544534_1, 0.77
29526832_2, 0.70
29463520_1, 0.84
29447769_1, 0.67
29430801_1, 0.33
29429593_1, 0.45
29409951_2, 0.50
29307087_1, 0.85
29307087_2, 0.48
29248384_1, 0.61
29228101_1, 0.77
29151034_1, 0.58
29151034_3, 0.19
29146124_2, 0.77
29132879_2, 0.53
29132879_3, 0.78
29132879_4, 0.78
29103664_1, 0.44
29084736_2, 0.62
29064626_1, 0.41
28948656_1, 0.32
28939567_1, 0.80
28924103_2, 0.54
28921862_1, 0.79
28910237_2, 0.56
28905478_2, 0.80
28905478_3, 0.82
28847206_2, 0.84
28844990_1, 0.60
28844508_3, 0.19
28842165_3, 0.56
28827011_2, 0.87
28818881_2, 0.63
28801539_2, 0.94
28753486_1, 0.45
28753486_3, 0.52
28720336_2, 0.49
28689179_2, 0.40
28666775_1, 0.75
28573499_2, 0.27
28520924_2, 0.50
28520924_3, 0.59
28467869_3, 0.44
28432746_2, 0.28
28416587_1, 0.72
28405473_2, 0.64
28391886_2, 0.67
28386990_2, 0.65
28386990_3, 0.65
28386035_2, 0.70
28385353_3, 0.30
28385353_4, 0.30
28382371_3, 0.78
28302288_2, 0.53
28263812_1, 0.56
28246237_2, 0.53
28237263_1, 0.58
28237263_2, 0.28
28213368_1, 0.37
28197834_2, 0.00
28035868_1, 0.90
27993292_2, 0.63
27977392_1, 0.87
27977392_3, 0.28
27965257_2, 0.70
27959607_1, 0.36
27956003_1, 0.89
27935736_1, 0.67
27846344_2, 0.50
27807306_1, 0.63
27796912_2, 0.30
27742728_2, 0.71
27708114_1, 0.33
27708114_2, 0.67
27689735_3, 0.72
27672117_1, 0.84
27639753_3, 0.62
27639753_4, 0.32
27616196_5, 0.56
27612281_4, 0.22
27609678_2, 0.88
27609406_1, 0.61
27585384_1, 0.69
27576775_1, 0.72
27502307_2, 0.71
27493790_1, 0.68
27492833_1, 0.45
27484756_2, 0.00
27448534_1, 0.25
27448534_2, 0.58
27437883_2, 0.73
27406394_1, 0.28
27406394_2, 0.47
27395349_3, 0.43
27335114_1, 0.45
27313282_1, 0.58
27299675_2, 0.56
27289121_1, 0.35
27267268_1, 0.57
27215749_1, 0.77
27215749_2, 0.90
27215502_2, 0.75
27190009_2, 0.36
27181606_1, 0.67
27161178_1, 0.75
27144849_2, 0.40
27046162_1, 0.78
27046159_2, 0.78
27039236_1, 0.42
27039126_1, 0.54
27033025_2, 0.70
27028914_1, 0.79
27028914_2, 0.50
26915374_1, 0.36
26915374_2, 0.00
26774608_3, 0.80
26762525_2, 0.93
26754626_1, 0.31
26747037_2, 0.59
26744025_1, 0.63
26681720_2, 0.88
26578849_1, 0.44
26524706_1, 0.78
26524706_3, 0.42
26523993_1, 0.85
26475142_1, 0.72
26471380_1, 0.75
26400827_2, 0.52
26400827_3, 0.48
26378978_1, 0.67
26374849_1, 0.44
26374849_2, 0.33
26373629_3, 0.71
26338971_1, 0.65
26338971_2, 0.66
26321103_1, 0.53
26271059_2, 0.85
26254019_1, 0.36
26238672_1, 0.59
26238672_2, 0.68
26233481_3, 0.50
26233481_4, 0.52
26179767_2, 0.93
26151264_1, 0.80
26135703_1, 0.84
26135703_2, 0.67
26132939_1, 0.67
26132939_2, 0.60
26132939_3, 0.60
26132939_4, 0.67
26121561_1, 0.72
26121561_2, 0.63
26100349_2, 0.87
26097039_1, 0.82
26097039_2, 0.70
26097039_3, 0.58
26093161_2, 0.87
26066644_1, 0.56
26065986_2, 0.73
26059896_2, 0.75
26027630_1, 0.60
25881510_1, 0.77
25852208_2, 0.90
