9892586_1, 0.75
9848888_1, 0.78
8596317_1, 0.53
8121459_1, 0.88
8121459_2, 0.54
30882239_2, 0.30
30882239_5, 0.75
30871355_2, 0.19
30830724_4, 0.25
30830724_5, 0.87
30734043_1, 0.62
30729456_2, 1.00
30614616_2, 0.90
30591006_1, 0.84
30590387_1, 0.92
30587959_1, 0.25
30587959_3, 0.67
30586757_2, 0.46
30586723_3, 0.79
30584583_2, 0.85
30547388_2, 0.00
30525116_2, 0.67
30474818_2, 0.25
30473179_2, 0.10
30418475_1, 0.57
30371334_1, 0.87
30354781_2, 0.85
30302940_4, 0.81
30291013_1, 0.67
30248105_3, 0.28
30203580_2, 0.47
30183102_2, 0.73
30175930_1, 0.45
30166073_2, 0.70
30166073_3, 0.82
30165610_1, 0.20
30146932_1, 0.62
30146932_2, 0.80
30146931_2, 0.62
30139780_1, 0.75
30026335_1, 0.40
30012318_3, 0.75
29941478_1, 0.35
29925383_1, 0.45
29793629_1, 0.87
29782217_1, 0.82
29782217_2, 0.38
29687620_1, 0.34
29685860_2, 0.50
29680881_1, 0.91
29664406_2, 1.00
29544870_1, 0.55
29544534_1, 0.72
29526832_2, 0.71
29463520_1, 0.80
29447769_1, 0.67
29430801_1, 0.39
29429593_1, 0.77
29409951_2, 0.70
29307087_1, 0.85
29307087_2, 0.79
29248384_1, 0.74
29228101_1, 0.80
29151034_1, 0.67
29151034_3, 0.56
29146124_2, 0.87
29132879_2, 0.45
29132879_3, 0.94
29132879_4, 0.53
29103664_1, 0.68
29084736_2, 0.62
29064626_1, 0.70
28948656_1, 0.54
28939567_1, 0.87
28924103_2, 0.64
28921862_1, 0.60
28910237_2, 0.56
28905478_2, 0.67
28905478_3, 0.74
28847206_2, 0.87
28844990_1, 0.67
28844508_3, 0.45
28842165_3, 0.56
28827011_2, 1.00
28818881_2, 0.41
28801539_2, 0.94
28753486_1, 0.16
28753486_3, 0.35
28720336_2, 0.77
28689179_2, 0.44
28666775_1, 0.75
28573499_2, 0.60
28520924_2, 0.57
28520924_3, 0.60
28467869_3, 0.78
28432746_2, 0.28
28416587_1, 0.50
28405473_2, 0.76
28391886_2, 0.33
28386990_2, 0.64
28386990_3, 0.54
28386035_2, 0.45
28385353_3, 0.30
28385353_4, 0.30
28382371_3, 0.88
28302288_2, 0.41
28263812_1, 0.60
28246237_2, 0.67
28237263_1, 0.58
28237263_2, 0.61
28213368_1, 0.40
