user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,12813116,1,false,na,Row,1,characteristic_name;arms,
auto,12899584,2,false,na,Col,1,outcomes,
auto,12899584,2,false,na,Row,1,characteristic_level,
auto,12899584,2,false,na,Row,2,arms;measures,
auto,12899584,2,false,na,Row,3,measures,
auto,12899584,2,false,na,Row,4,measures,
auto,14657064,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,14657064,1,false,na,Col,1,characteristic_level,indent;
auto,14657064,1,false,na,Col,1,characteristic_level,empty_row
auto,14657064,2,false,na,Col,1,characteristic_level;measures,
auto,14657064,2,false,na,Col,1,characteristic_level;characteristic_name,empty_row
auto,14657064,2,false,na,Row,1,measures,
auto,15381674,2,false,na,Col,1,outcomes,
auto,15381674,2,false,na,Row,1,arms,
auto,15381674,2,false,na,Row,2,measures,
auto,15579515,1,false,na,Col,1,characteristic_level,
auto,15579515,1,false,na,Row,2,characteristic_level,
auto,15579515,1,false,na,Row,3,arms;measures,
auto,15590586,4,false,na,Col,1,characteristic_level,italic;empty_row
auto,15590586,4,false,na,Col,1,characteristic_level,indent;
auto,15590586,4,false,na,Row,1,measures;arms,
auto,15590586,4,false,na,Row,2,measures,
auto,15851647,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,15851647,1,false,na,Col,1,characteristic_level;characteristic_name,indent;
auto,15851647,1,false,na,Col,1,characteristic_level;characteristic_name,empty_row
auto,15851647,1,false,na,Row,2,arms,
auto,15851647,3,false,na,Row,1,arms,
auto,15851647,3,false,na,Row,2,measures,
auto,15883637,1,false,na,Row,2,arms,
auto,15924587,2,false,na,Col,1,characteristic_level,
auto,15924587,2,false,na,Row,1,measures,
auto,15924587,2,false,na,Row,2,arms,
auto,15998891,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,15998891,1,false,na,Col,1,characteristic_level,indent;
auto,15998891,1,false,na,Row,1,measures,
auto,16116047,4,false,na,Col,1,outcomes,
auto,16116047,4,false,na,Row,1,measures,
auto,16116047,4,false,na,Row,2,measures,
auto,16139123,1,false,na,Col,1,characteristic_level;characteristic_name,
